CaseID,weight_pop,B3_trans,ND2_trans,B7_b_trans,GH1_trans,race_trans,educ_trans,B3_binary,ND2_num,B7_b_num,GH1_num,race_num,educ_num
1975,15321.6202,3,2,2,1,1,4,1,2,2,1,1,4
1976,7369.9929,2,2,2,1,5,4,0,2,2,1,5,4
1977,13095.626,2,3,1,4,1,3,0,3,1,4,1,3
1978,30911.7681,1,2,1,3,2,3,0,2,1,3,2,3
1979,21793.3678,3,3,1,2,1,4,1,3,1,2,1,4
1980,29510.12,5,3,2,1,1,4,1,3,2,1,1,4
1981,10952.2635,2,2,2,2,1,3,0,2,2,2,1,3
1982,40731.2632,4,2,2,3,2,3,1,2,2,3,2,3
1983,11421.6997,5,3,2,1,1,4,1,3,2,1,1,4
1984,18155.9675,3,2,3,1,1,3,1,2,3,1,1,3
1985,10586.3958,1,5,1,2,3,4,0,5,1,2,3,4
1986,12153.1069,2,2,3,1,1,4,0,2,3,1,1,4
1987,39999.7256,3,2,3,1,4,4,1,2,3,1,4,4
1988,20034.533,2,3,2,1,1,3,0,3,2,1,1,3
1989,28501.5055,3,5,3,2,1,3,1,5,3,2,1,3
1990,13420.1527,3,1,1,1,2,3,1,1,1,1,2,3
1991,15209.6036,2,1,2,3,1,3,0,1,2,3,1,3
1992,17767.7929,3,2,2,3,1,3,1,2,2,3,1,3
1993,18964.3442,4,2,2,3,1,4,1,2,2,3,1,4
1994,15097.6514,3,4,2,1,1,3,1,4,2,1,1,3
1995,21793.3678,3,3,2,2,1,4,1,3,2,2,1,4
1996,10305.5614,3,2,2,2,1,4,1,2,2,2,1,4
1997,16524.1704,2,3,2,1,1,3,0,3,2,1,1,3
1998,15882.4633,1,2,1,1,1,4,0,2,1,1,1,4
1999,17247.1991,2,3,1,3,1,1,0,3,1,3,1,1
2000,20174.8978,4,3,2,1,1,4,1,3,2,1,1,4
2001,24778.0352,3,1,4,3,1,2,1,1,4,3,1,2
2002,12153.1069,2,3,2,3,1,4,0,3,2,3,1,4
2003,23536.5786,3,3,3,1,2,3,1,3,3,1,2,3
2004,14681.5897,5,2,3,3,2,3,1,2,3,3,2,3
2005,15321.6202,4,2,2,1,1,4,1,2,2,1,1,4
2006,21164.2081,4,2,1,2,1,1,1,2,1,2,1,1
2007,25332.7665,3,3,2,1,1,3,1,3,2,1,1,3
2008,20336.5113,2,2,2,3,2,4,0,2,2,3,2,4
2009,16627.4058,3,3,2,3,2,3,1,3,2,3,2,3
2010,28530.1393,3,3,4,1,4,4,1,3,4,1,4,4
2011,12517.6437,3,3,1,1,1,4,1,3,1,1,1,4
2012,17001.7715,4,2,2,1,3,4,1,2,2,1,3,4
2013,13317.364,3,3,3,1,2,4,1,3,3,1,2,4
2014,13308.4628,4,4,3,1,3,4,1,4,3,1,3,4
2015,41797.5978,3,3,3,1,4,4,1,3,3,1,4,4
2016,12515.8886,3,2,2,1,2,4,1,2,2,1,2,4
2017,20329.7194,3,1,2,1,3,4,1,1,2,1,3,4
2018,21344.2895,3,3,3,1,1,4,1,3,3,1,1,4
2019,13992.7265,3,3,3,1,1,3,1,3,3,1,1,3
2020,8476.6592,2,3,2,1,1,4,0,3,2,1,1,4
2021,12113.6041,3,4,2,3,1,3,1,4,2,3,1,3
2022,16705.3888,1,3,1,2,1,3,0,3,1,2,1,3
2023,24319.4371,3,3,1,1,1,3,1,3,1,1,1,3
2024,23095.5817,3,3,3,2,3,4,1,3,3,2,3,4
2025,15216.2834,2,3,2,3,3,3,0,3,2,3,3,3
2026,17260.9348,2,1,2,1,1,3,0,1,2,1,1,3
2027,7723.2211,3,2,1,2,1,3,1,2,1,2,1,3
2028,5646.4329,1,3,1,1,5,3,0,3,1,1,5,3
2029,24240.4411,4,3,1,3,4,4,1,3,1,3,4,4
2030,13758.0583,3,3,2,1,1,2,1,3,2,1,1,2
2031,25227.6041,2,3,2,1,1,3,0,3,2,1,1,3
2032,20271.1524,3,3,1,2,1,2,1,3,1,2,1,2
2033,16249.8582,3,3,2,3,1,3,1,3,2,3,1,3
2034,17260.9348,3,3,1,2,1,3,1,3,1,2,1,3
2035,18596.2755,4,3,1,2,1,3,1,3,1,2,1,3
2036,25906.9628,3,3,2,1,1,3,1,3,2,1,1,3
2037,19830.3597,3,2,3,2,2,3,1,2,3,2,2,3
2038,16098.9296,3,3,1,2,1,2,1,3,1,2,1,2
2039,23905.8338,3,3,1,3,3,3,1,3,1,3,3,3
2040,15501.4887,4,3,2,3,1,4,1,3,2,3,1,4
2041,22737.6043,3,3,2,3,1,4,1,3,2,3,1,4
2042,28231.1125,3,4,2,3,1,4,1,4,2,3,1,4
2043,23905.8338,2,2,2,3,3,3,0,2,2,3,3,3
2045,20929.5501,2,3,2,2,1,2,0,3,2,2,1,2
2046,10857.7405,3,2,2,2,1,4,1,2,2,2,1,4
2047,27385.2386,3,1,2,1,2,3,1,1,2,1,2,3
2048,17530.7834,3,3,1,2,1,2,1,3,1,2,1,2
2049,39046.8014,3,3,2,2,1,3,1,3,2,2,1,3
2050,19493.8887,5,3,1,1,1,4,1,3,1,1,1,4
2051,14052.8508,3,2,2,1,1,4,1,2,2,1,1,4
2052,23885.0138,5,3,2,1,1,4,1,3,2,1,1,4
2053,11773.2408,3,2,2,3,1,3,1,2,2,3,1,3
2054,21087.9537,3,3,3,1,3,4,1,3,3,1,3,4
2055,16098.9296,2,3,1,2,1,2,0,3,1,2,1,2
2056,42877.9592,2,2,2,2,4,3,0,2,2,2,4,3
2057,14747.2501,2,3,2,2,3,4,0,3,2,2,3,4
2058,20308.8895,3,3,2,2,1,3,1,3,2,2,1,3
2059,11325.2852,5,3,2,2,1,3,1,3,2,2,1,3
2060,26646.7085,3,3,2,1,1,2,1,3,2,1,1,2
2061,23116.6365,3,3,1,2,1,2,1,3,1,2,1,2
2062,19493.8887,2,3,3,1,1,4,0,3,3,1,1,4
2063,11497.5571,4,3,2,3,1,3,1,3,2,3,1,3
2064,21728.9205,3,1,1,1,2,4,1,1,1,1,2,4
2065,21579.2115,3,3,2,2,1,4,1,3,2,2,1,4
2066,14555.5127,4,2,3,2,1,2,1,2,3,2,1,2
2067,14001.9772,2,3,2,2,1,4,0,3,2,2,1,4
2068,16183.6701,2,3,1,2,1,3,0,3,1,2,1,3
2069,16183.5754,1,3,2,2,1,2,0,3,2,2,1,2
2070,44037.142,3,4,2,1,4,4,1,4,2,1,4,4
2071,17332.7927,2,3,2,3,1,4,0,3,2,3,1,4
2072,19797.7591,1,3,1,1,1,3,0,3,1,1,1,3
2073,16140.2999,4,3,2,1,2,3,1,3,2,1,2,3
2074,23862.6704,1,2,1,3,1,2,0,2,1,3,1,2
2075,10398.3501,3,3,2,1,1,4,1,3,2,1,1,4
2076,19927.6513,4,4,2,4,2,1,1,4,2,4,2,1
2077,10151.1496,4,3,3,1,1,4,1,3,3,1,1,4
2078,12604.9223,1,5,2,1,1,3,0,5,2,1,1,3
2079,12868.1023,2,2,2,2,1,4,0,2,2,2,1,4
2080,42163.6295,2,3,2,2,3,3,0,3,2,2,3,3
2081,16039.761,3,2,2,3,2,4,1,2,2,3,2,4
2082,18224.6982,2,3,1,2,5,4,0,3,1,2,5,4
2083,18615.4748,2,3,1,1,1,2,0,3,1,1,1,2
2084,19689.1633,2,3,2,1,1,3,0,3,2,1,1,3
2085,20319.1813,3,2,1,3,3,4,1,2,1,3,3,4
2086,31856.8656,3,2,2,1,3,4,1,2,2,1,3,4
2087,15116.4069,2,2,3,3,1,4,0,2,3,3,1,4
